title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,na_sales_proportion,jp_sales_proportion,pal_sales_proportion,other_sales_proportion
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box,8.3,6.9,2.71,0.08,3.02,1.09,2004-11-15,0.3927536231884058,0.011594202898550725,0.43768115942028984,0.15797101449275364
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles,9.0,6.83,2.93,0.17,2.75,0.99,2002-05-28,0.42898975109809667,0.024890190336749635,0.40263543191800877,0.14494875549048317
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2009-10-13,0.486646884272997,0.031157270029673587,0.3293768545994065,0.1513353115727003
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2007-11-05,0.46577380952380953,0.04166666666666667,0.33779761904761907,0.15476190476190477
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,9.2,6.65,0.84,0.11,4.33,1.37,2011-09-27,0.1263157894736842,0.016541353383458645,0.6511278195488721,0.20601503759398496
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2011-10-11,0.4292237442922374,0.025875190258751905,0.3926940639269406,0.15220700152207
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2010-05-18,0.58,0.013846153846153845,0.3123076923076923,0.0923076923076923
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2012-10-30,0.4076923076923077,0.024615384615384615,0.4015384615384615,0.16615384615384615
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2011-11-11,0.3959938366718027,0.03852080123266564,0.41294298921417566,0.15254237288135591
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,2014-10-07,0.2985781990521327,0.05529225908372827,0.49447077409162715,0.15165876777251183
FIFA 15,PS4,Sports,EA Sports,EA Canada,8.1,6.32,0.83,0.05,4.49,0.94,2014-09-23,0.1313291139240506,0.007911392405063292,0.7104430379746836,0.14873417721518986
Driver,PS,Action,GT Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999-06-30,0.4960127591706539,0.0031897926634768745,0.44657097288676234,0.052631578947368425
Tekken 2,PS,Fighting,Namco,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1996-08-25,0.3937282229965156,0.23693379790940766,0.3292682926829268,0.04006968641114982
Cooking Mama,DS,Simulation,Majesco,Office Create,6.6,5.66,3.09,0.07,1.92,0.58,2006-09-12,0.5459363957597173,0.01236749116607774,0.33922261484098937,0.10247349823321554
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,0.21,1.95,0.86,2009-11-17,0.45601436265709155,0.03770197486535009,0.35008976660682223,0.15439856373429084
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,0.07,1.64,0.56,2007-11-13,0.590990990990991,0.012612612612612614,0.2954954954954955,0.10090090090090091
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,0.11,1.89,0.82,2011-10-18,0.4909747292418773,0.019855595667870037,0.3411552346570397,0.148014440433213
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,0.1,1.9,0.51,2009-10-27,0.5436363636363637,0.018181818181818184,0.34545454545454546,0.09272727272727273
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,0.24,2.29,0.82,2001-10-29,0.38191881918819187,0.04428044280442804,0.4225092250922509,0.15129151291512916
Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,8.0,5.35,1.75,1.87,1.23,0.51,2010-03-09,0.3271028037383178,0.34953271028037386,0.22990654205607478,0.09532710280373832
